trial,vernal_offset,correction_period,calendar_year,tropical_year,amplitude,coupling_strength,top3_error,bounded_90deg,bounded_strict,dynamically_bounded,both_strict
60,124.1481517822941,290.9077881699247,367.3975489462285,365.24219,5000.0,21.46015115307116,0.046597994248371834,False,False,True,False
61,319.3515246306771,292.06353302172124,365.27987236827346,365.24219,5000.0,21.46015115307116,0.046597994248371834,False,False,True,False
62,297.46888087324254,294.4416064927957,364.23720462684804,365.24219,355.750491582439,21.46015115307116,0.046597994248371834,False,False,True,False
63,88.03423388776442,290.7448221424472,367.1777260636266,365.24219,5000.0,21.46015115307116,0.046597994248371834,False,False,True,False
64,327.75217280745227,295.06481165818616,362.7122383283896,365.24219,3662.5678357367524,21.46015115307116,0.046597994248371834,False,False,True,False
65,127.11228515900856,295.80764543096194,367.1768820796206,365.24219,5000.0,21.46015115307116,0.046597994248371834,False,False,True,False
66,322.8994584325027,296.23900436686097,365.1362531692343,365.24219,5000.0,21.46015115307116,0.046597994248371834,False,False,True,False
67,30.626947258197774,291.2930297127569,367.18843350821663,365.24219,5000.0,21.46015115307116,0.046597994248371834,False,False,True,False
68,220.74017771609073,290.07357641293305,360.81177234292824,365.24219,5000.0,21.46015115307116,0.046597994248371834,False,False,True,False
69,241.5146439553323,290.04049267076977,361.28646441134,365.24219,5000.0,21.46015115307116,0.046597994248371834,False,False,True,False
70,199.73909932943735,295.53516158154156,365.2156900760208,365.24219,4217.222011012906,21.46015115307116,0.046597994248371834,False,False,True,False
71,81.63402864364376,295.69743377078026,361.8979926999744,365.24219,5000.0,21.46015115307116,0.046597994248371834,False,False,True,False
72,118.44549012997345,295.9719312409442,365.1970631923777,365.24219,5000.0,21.46015115307116,0.046597994248371834,False,False,True,False
